,Unnamed: 0,Unnamed: 1,7.176724138,0.4568965517,0.5,0.6574074074,0.09259259259,1.771028037,2.275700935,2.420560748,0.2056074766,0.1775700935,0.261682243,0.1308411215,0.3912037037,0.3009259259,3.644859813,5.588495575,5.14953271,Unnamed: 19
0,Date,Day of Week,Previous Night Sleep Duration (int),Broken Sleep? (bool),Breakfast? (bool),Morning Routine? (bool),Used ToDo List? (bool),Social? (0-2),External Stress (0-5),Day Physical Activity (5 scale),Nap? (bool),Read? (bool),Gym? (bool),Fast Food? (bool),Caffeine (0-2),Alcohol (0-2),Time Spent in Focused Environment (hours) 0.5 rounded,Screen Time (hours) 0.5 rounded,End of Day Productivity (0-10),Notes
1,26-11-2023,Sun,7,N,N,N,N,2,2,4,N,N,Y,Y,0,0,2,7,5,
2,27-11-2023,Mon,8,Y,N,Y,N,1,2,2,N,N,N,N,0,1,1.5,6.5,4,
3,28-11-2023,Tue,5.5,Y,Y,Y,Y,1,2,5,N,N,Y,N,2,0,3,8,8,
4,29-11-2023,Wed,7,Y,N,Y,N,2,1,2,Y,N,N,Y,0,0,2,3.5,6,
5,30-11-2023,Thu,9,Y,N,N,N,1,2.5,4,N,Y,Y,N,1,1,2,4,6,
6,1-12-2023,Fri,7.5,N,N,Y,Y,2,2,2,N,N,N,Y,0,0.5,1,6.5,6,
7,2-12-2023,Sat,7.5,Y,N,N,N,2,2.5,4,N,N,Y,N,0,0,0,6,3,
8,3-12-2023,Sun,9,Y,Y,N,N,2,1.5,2,N,N,N,N,0,0,2.5,5.5,6,
9,4-12-2023,Mon,8,N,N,N,N,2,1.5,3,N,Y,N,N,1,2,1.5,6,6,
10,5-12-2023,Tue,8,Y,N,Y,Y,1,2,2,Y,N,N,N,0,0,1.5,5.5,4,
11,6-12-2023,Wed,7,N,N,Y,Y,2,2,1,N,Y,N,N,1,0,2.5,7,6.5,
12,7-12-2023,Thu,6,N,N,N,N,2,2,2,N,N,N,Y,0,1.5,0,4,2,
13,8-12-2023,Fri,6,N,N,N,N,2,3,1.5,N,N,N,Y,1,2,1,8,4,
14,9-12-2023,Sat,4.5,N,Y,N,N,2,3,2,N,N,Y,Y,0.5,0.5,1,7,4,
15,10-12-2023,Sun,8.5,N,Y,Y,N,2,3,4,N,N,Y,N,0.5,0,0.5,4,4,
