,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
0,Date,Day of Week,Previous Night Sleep Duration (int),Broken Sleep? (bool),Breakfast? (bool),Morning Routine? (bool),Used ToDo List? (bool),Social? (0-2),External Stress (0-5),Day Physical Activity (5 scale),Nap? (bool),Read? (bool),Gym? (bool),Fast Food? (bool),Caffeine (0-2),Alcohol (0-2),Time Spent in Focused Environment (hours) 0.5 rounded,Screen Time (hours) 0.5 rounded,End of Day Productivity (0-10),Notes
1,10.12.23,Sun,8,N,Y,Y,N,1,0,3,N,Y,Y,N,1,0,0,6.5,3,.
2,11.12.23,Mon,7,Y,Y,N,N,2,1,2,N,Y,N,Y,0,1,0,6,2,
3,12.12.23,Tue,9,N,N,N,N,1,1,1,N,N,N,N,2,0,0,5.5,2,
4,13.12.23,Wed,9.5,N,Y,Y,N,2,1,2,Y,Y,N,Y,0,0,0,4.5,1,
5,14.12.23,Thu,9,Y,N,N,N,2,2,2,N,N,N,N,0,0.5,0,5.5,5,
6,15.12.23,Fri,7.5,N,Y,N,N,2,2,2,N,N,N,N,1,1.5,0,5,5,
7,16.12.23,Sat,7,Y,Y,N,N,2,1,3,N,N,N,N,1,1,0,3,2,
8,17.12.23,Sun,8.5,Y,N,N,N,2,1,4,N,Y,Y,N,2,0,0,7.5,3,
9,18.12.23,Mon,7.5,N,Y,Y,N,2,1,2,N,N,N,N,1,2,0,5.5,3,
10,19.12.23,Tue,,Y,N,N,N,1,3,0,Y,N,N,N,1,0,0,6,0,
11,20.12.23,Wed,,Y,N,N,N,1,3,0,Y,N,N,N,0,0,0,2,0,
12,21.12.23,Thu,,Y,Y,N,N,1,3,0,Y,N,N,N,0,0,0,4.5,0,
13,22.12.23,Fri,,Y,N,N,N,1,3,0,Y,Y,N,N,0,0,0,7,0,
14,23.12.23,Sat,9,Y,Y,N,N,1,2,1,Y,N,N,N,1,1,0,5.5,0,
15,24.12.23,Sun,8.5,Y,Y,N,N,1,2,3,N,N,N,N,1,2,0,3,0,
16,25.12.23,Mon,12,Y,Y,N,N,2,1,2,Y,N,N,N,1,2,0,4.5,0,
17,26.12.23,Tue,9,N,Y,N,N,2,2,1,N,Y,N,N,0,0,0,6,0,
18,27.12.23,Wed,8,N,Y,N,N,1,2,2,N,Y,N,N,1,0,0,5,0,
19,28.12.23,Thu,9,Y,N,N,N,2,2,2,N,N,N,N,1,1,0,5,2,
20,29.12.23,Fri,9,Y,Y,N,N,2,1,2,N,N,N,N,1,0,0,3.5,2,
21,30.12.23,Sat,9,N,Y,N,N,2,3,3,N,N,N,N,1,0,0,4,3,
22,31.12.23,Sun,9.5,Y,Y,N,N,2,3,2,N,N,N,N,2,2,0,5,3,
23,01.01.24,Mon,8,N,N,N,N,2,2,2,N,N,N,N,1,1,0,5,3,
24,02.01.24,Tue,9,N,N,N,N,2,2,2,N,N,N,N,1,0,0,6.5,2,
25,03.01.24,Wed,9,Y,Y,N,N,2,2,2,N,N,N,N,1,0,0,6,2,
26,04.01.24,Thu,7,N,N,N,N,2,3,2,N,N,N,N,1,0,0,4,3,
