,Previous Night Sleep Duration (int),Broken Sleep? (bool),Breakfast? (bool),Morning Routine? (bool),Used ToDo List? (bool),Social? (0-2),External Stress (0-5),Day Physical Activity (5 scale),Nap? (bool),Read? (bool),Gym? (bool),Fast Food? (bool),Caffeine (0-2),Alcohol (0-2),Time Spent in Focused Environment (hours) 0.5 rounded,Screen Time (hours) 0.5 rounded,End of Day Productivity (0-10),DayOfWeek_Fri,DayOfWeek_Mon,DayOfWeek_Sat,DayOfWeek_Sun,DayOfWeek_Thu,DayOfWeek_Tue,DayOfWeek_Wed
1,7.0,False,False,False,False,2.0,2.0,4.0,False,False,True,True,0.0,0.0,2.0,7.0,5.0,False,False,False,True,False,False,False
2,8.0,True,False,True,False,1.0,2.0,2.0,False,False,False,False,0.0,1.0,1.5,6.5,4.0,False,True,False,False,False,False,False
3,5.5,True,True,True,True,1.0,2.0,5.0,False,False,True,False,2.0,0.0,3.0,8.0,8.0,False,False,False,False,False,True,False
4,7.0,True,False,True,False,2.0,1.0,2.0,True,False,False,True,0.0,0.0,2.0,3.5,6.0,False,False,False,False,False,False,True
5,9.0,True,False,False,False,1.0,2.5,4.0,False,True,True,False,1.0,1.0,2.0,4.0,6.0,False,False,False,False,True,False,False
6,7.5,False,False,True,True,2.0,2.0,2.0,False,False,False,True,0.0,0.5,1.0,6.5,6.0,True,False,False,False,False,False,False
7,7.5,True,False,False,False,2.0,2.5,4.0,False,False,True,False,0.0,0.0,0.0,6.0,3.0,False,False,True,False,False,False,False
8,9.0,True,True,False,False,2.0,1.5,2.0,False,False,False,False,0.0,0.0,2.5,5.5,6.0,False,False,False,True,False,False,False
9,8.0,False,False,False,False,2.0,1.5,3.0,False,True,False,False,1.0,2.0,1.5,6.0,6.0,False,True,False,False,False,False,False
10,8.0,True,False,True,True,1.0,2.0,2.0,True,False,False,False,0.0,0.0,1.5,5.5,4.0,False,False,False,False,False,True,False
11,7.0,False,False,True,True,2.0,2.0,1.0,False,True,False,False,1.0,0.0,2.5,7.0,6.5,False,False,False,False,False,False,True
12,6.0,False,False,False,False,2.0,2.0,2.0,False,False,False,True,0.0,1.5,0.0,4.0,2.0,False,False,False,False,True,False,False
13,6.0,False,False,False,False,2.0,3.0,1.5,False,False,False,True,1.0,2.0,1.0,8.0,4.0,True,False,False,False,False,False,False
14,4.5,False,True,False,False,2.0,3.0,2.0,False,False,True,True,0.5,0.5,1.0,7.0,4.0,False,False,True,False,False,False,False
15,8.5,False,True,True,False,2.0,3.0,4.0,False,False,True,False,0.5,0.0,0.5,4.0,4.0,False,False,False,True,False,False,False
